"","score","text","created","tweet","sentiment"
"1",0,"momento probando gingerbread  fudge hot chocolate mmmm deliciosos",2017-11-25,"neutral",0
"2",-1,"apologized wait smiled saturday",2017-11-25,"negative",0
"3",0,"perfect solution red controversy porn",2017-11-25,"neutral",0
"4",0,"ducky nest",2017-11-25,"neutral",0
"5",0,"check rare tumbler pulled shelves",2017-11-25,"neutral",0
"6",3,"mince pie loving finished sweet snow available",2017-11-25,"positive",1
"7",0,"bagged buy",2017-11-25,"neutral",0
"8",1,"road trip gotta block treats restaurant meals blocks absorption sugar starch love",2017-11-25,"positive",1
"9",1,"engagement pictures beyond love",2017-11-25,"positive",1
"10",0,"blessed coming ",2017-11-25,"neutral",0
"11",0,"avoiding tax",2017-11-25,"neutral",0
"12",0,"inspired friend buying car driving",2017-11-25,"neutral",0
"13",1,"like post awake card giveaway giveaways",2017-11-25,"positive",1
"14",0,"body pump comes breakfast champions",2017-11-25,"neutral",0
"15",0,"care makes look gonna cappucino drinkable moments",2017-11-25,"neutral",0
"16",0,"key existent health care system",2017-11-25,"neutral",0
"17",0,"love smell  blend beans",2017-11-25,"neutral",0
"18",0,"regular psl time",2017-11-25,"neutral",0
"19",0,"forget love fall",2017-11-25,"neutral",0
"20",0,"brasil",2017-11-25,"neutral",0
"21",1,"like post awake card giveaway giveaways",2017-11-25,"positive",1
"22",0,"",2017-11-25,"neutral",0
"23",0,"early birthday feeling reaching coming",2017-11-25,"neutral",0
"24",0,"anybody thinking getting  card",2017-11-25,"neutral",0
"25",0,"bigmouth inc prescription mug",2017-11-25,"neutral",0
"26",0,"send supplies waterville ohio sleeves grande venti reusable lids",2017-11-25,"neutral",0
"27",0,"every met catty touch drinking soccer mom zero grip rea",2017-11-25,"neutral",0
"28",0,"",2017-11-25,"neutral",0
"29",-1,"everything wrong via",2017-11-25,"negative",0
"30",0,"grab morning catch entertainment",2017-11-25,"neutral",0
"31",0,"picture bathroom",2017-11-25,"neutral",0
"32",0,"set mermaid logo mugs",2017-11-25,"neutral",0
"33",0,"bet none guess specific",2017-11-25,"neutral",0
"34",-1,"talk thinking ice cold spreadable butter pads bagel",2017-11-25,"negative",0
"35",0," dumbass",2017-11-25,"neutral",0
"36",0,"everything",2017-11-25,"neutral",0
"37",1,"love sign wanna home",2017-11-25,"positive",1
"38",0,"branding lessons learned  ",2017-11-25,"neutral",0
"39",0,"making world spreading",2017-11-25,"neutral",0
"40",1,"ready faire brought",2017-11-25,"positive",1
"41",-1,"wake smell customers sipping soy boys",2017-11-25,"negative",0
"42",1,"like post awake card giveaway giveaways",2017-11-25,"positive",1
"43",0,"sevierville tennessee",2017-11-25,"neutral",0
"44",1,"love",2017-11-25,"positive",1
"45",-1,"wake smell customers sipping soy boys",2017-11-25,"negative",0
"46",0,"time tumbler",2017-11-25,"neutral",0
"47",1,"like post awake card giveaway giveaways",2017-11-25,"positive",1
"48",1,"inclusion value employer benefits pay",2017-11-25,"positive",1
"49",0,"water essential",2017-11-25,"neutral",0
"50",-1,"channelling dark queue tall venti",2017-11-25,"negative",0
"51",1,"like post awake card giveaway giveaways",2017-11-25,"positive",1
"52",1,"like post awake card giveaway giveaways",2017-11-25,"positive",1
"53",1,"like post awake card giveaway giveaways",2017-11-25,"positive",1
"54",1,"great start chilled weekend acomb york united kingdom",2017-11-25,"positive",1
"55",1,"like post awake card giveaway giveaways",2017-11-25,"positive",1
"56",1,"like post awake card giveaway giveaways",2017-11-25,"positive",1
"57",1,"like post awake card giveaway giveaways",2017-11-25,"positive",1
"58",1,"like post awake card giveaway giveaways",2017-11-25,"positive",1
"59",1,"like post awake card giveaway giveaways",2017-11-25,"positive",1
"60",1,"like post awake card giveaway giveaways",2017-11-25,"positive",1
"61",1,"like post awake card giveaway giveaways",2017-11-25,"positive",1
"62",0,"makes move italian cafes",2017-11-25,"neutral",0
"63",1,"like post awake card giveaway giveaways",2017-11-25,"positive",1
"64",1,"like post awake card giveaway giveaways",2017-11-25,"positive",1
"65",1,"like post awake card giveaway giveaways",2017-11-25,"positive",1
"66",1,"like post awake card giveaway giveaways",2017-11-25,"positive",1
"67",1,"like post awake card giveaway giveaways",2017-11-25,"positive",1
"68",1,"like post awake card giveaway giveaways",2017-11-25,"positive",1
"69",1,"like post awake card giveaway giveaways",2017-11-25,"positive",1
"70",1,"like post awake card giveaway giveaways",2017-11-25,"positive",1
"71",1,"like post awake card giveaway giveaways",2017-11-25,"positive",1
"72",1,"like post awake card giveaway giveaways",2017-11-25,"positive",1
"73",1,"like post awake card giveaway giveaways",2017-11-25,"positive",1
"74",1,"like post awake card giveaway giveaways",2017-11-25,"positive",1
"75",1,"like post awake card giveaway giveaways",2017-11-25,"positive",1
"76",1,"like post awake card giveaway giveaways",2017-11-25,"positive",1
"77",0,"moment tell tofy nut",2017-11-25,"neutral",0
"78",1,"like post awake card giveaway giveaways",2017-11-25,"positive",1
"79",1,"like post awake card giveaway giveaways",2017-11-25,"positive",1
"80",1,"like post awake card giveaway giveaways",2017-11-25,"positive",1
"81",1,"like post awake card giveaway giveaways",2017-11-25,"positive",1
"82",1,"like post awake card giveaway giveaways",2017-11-25,"positive",1
"83",1,"like post awake card giveaway giveaways",2017-11-25,"positive",1
"84",1,"like post awake card giveaway giveaways",2017-11-25,"positive",1
"85",1,"like post awake card giveaway giveaways",2017-11-25,"positive",1
"86",1,"like post awake card giveaway giveaways",2017-11-25,"positive",1
"87",1,"like post awake card giveaway giveaways",2017-11-25,"positive",1
"88",1,"winter hot chocolate season started",2017-11-25,"positive",1
"89",0,"sending thanks universe mystery customer bought cars worth",2017-11-25,"neutral",0
"90",1,"like post awake card giveaway giveaways",2017-11-25,"positive",1
"91",1,"like post awake card giveaway giveaways",2017-11-25,"positive",1
"92",1,"like post awake card giveaway giveaways",2017-11-25,"positive",1
"93",1,"like post awake card giveaway giveaways",2017-11-25,"positive",1
"94",1,"like post awake card giveaway giveaways",2017-11-25,"positive",1
"95",1,"like post awake card giveaway giveaways",2017-11-25,"positive",1
"96",1,"like post awake card giveaway giveaways",2017-11-25,"positive",1
"97",1,"like post awake card giveaway giveaways",2017-11-25,"positive",1
"98",1,"like post awake card giveaway giveaways",2017-11-25,"positive",1
"99",1,"like post awake card giveaway giveaways",2017-11-25,"positive",1
"100",1,"like post awake card giveaway giveaways",2017-11-25,"positive",1
"101",1,"like post awake card giveaway giveaways",2017-11-25,"positive",1
"102",1,"like post awake card giveaway giveaways",2017-11-25,"positive",1
"103",1,"like post awake card giveaway giveaways",2017-11-25,"positive",1
"104",1,"like post awake card giveaway giveaways",2017-11-25,"positive",1
"105",1,"like post awake card giveaway giveaways",2017-11-25,"positive",1
"106",1,"like post awake card giveaway giveaways",2017-11-25,"positive",1
"107",1,"like post awake card giveaway giveaways",2017-11-25,"positive",1
"108",1,"like post awake card giveaway giveaways",2017-11-25,"positive",1
"109",1,"like post awake card giveaway giveaways",2017-11-25,"positive",1
"110",1,"like post awake card giveaway giveaways",2017-11-25,"positive",1
"111",1,"like post awake card giveaway giveaways",2017-11-25,"positive",1
"112",1,"like post awake card giveaway giveaways",2017-11-25,"positive",1
"113",1,"like post awake card giveaway giveaways",2017-11-25,"positive",1
"114",1,"like post awake card giveaway giveaways",2017-11-25,"positive",1
"115",1,"like post awake card giveaway giveaways",2017-11-25,"positive",1
"116",1,"like post awake card giveaway giveaways",2017-11-25,"positive",1
"117",1,"like post awake card giveaway giveaways",2017-11-25,"positive",1
"118",1,"like post awake card giveaway giveaways",2017-11-25,"positive",1
"119",1,"like post awake card giveaway giveaways",2017-11-25,"positive",1
"120",1,"like post awake card giveaway giveaways",2017-11-25,"positive",1
"121",1,"like post awake card giveaway giveaways",2017-11-25,"positive",1
"122",1,"like post awake card giveaway giveaways",2017-11-25,"positive",1
"123",1,"like post awake card giveaway giveaways",2017-11-25,"positive",1
"124",1,"like post awake card giveaway giveaways",2017-11-25,"positive",1
"125",1,"like post awake card giveaway giveaways",2017-11-25,"positive",1
"126",1,"like post awake card giveaway giveaways",2017-11-25,"positive",1
"127",1,"like post awake card giveaway giveaways",2017-11-25,"positive",1
"128",1,"like post awake card giveaway giveaways",2017-11-25,"positive",1
"129",1,"like post awake card giveaway giveaways",2017-11-25,"positive",1
"130",1,"like post awake card giveaway giveaways",2017-11-25,"positive",1
"131",1,"like post awake card giveaway giveaways",2017-11-25,"positive",1
"132",1,"like post awake card giveaway giveaways",2017-11-25,"positive",1
"133",1,"like post awake card giveaway giveaways",2017-11-25,"positive",1
"134",1,"like post awake card giveaway giveaways",2017-11-25,"positive",1
"135",1,"like post awake card giveaway giveaways",2017-11-25,"positive",1
"136",1,"like post awake card giveaway giveaways",2017-11-25,"positive",1
"137",1,"like post awake card giveaway giveaways",2017-11-25,"positive",1
"138",1,"like post awake card giveaway giveaways",2017-11-25,"positive",1
"139",1,"like post awake card giveaway giveaways",2017-11-25,"positive",1
"140",1,"like post awake card giveaway giveaways",2017-11-25,"positive",1
"141",1,"like post awake card giveaway giveaways",2017-11-25,"positive",1
"142",1,"like post awake card giveaway giveaways",2017-11-25,"positive",1
"143",1,"like post awake card giveaway giveaways",2017-11-25,"positive",1
"144",1,"like post awake card giveaway giveaways",2017-11-25,"positive",1
"145",0,"water essential",2017-11-25,"neutral",0
"146",1,"like post awake card giveaway giveaways",2017-11-25,"positive",1
"147",1,"like post awake card giveaway giveaways",2017-11-25,"positive",1
"148",1,"like post awake card giveaway giveaways",2017-11-25,"positive",1
